id,name,host_id,neighbourhood,latitude,longitude,room_type,price
20958643,X-mas Munich City 10min zum Christkindlmarkt,150745490,Berg am Laim,48.12848,11.6118,Private room,73
20962197,"Nice, big & bright room - Close to Oktoberfest",102893106,Schwanthalerhöhe,48.13193,11.53677,Private room,40
20962622,Ruhiges Zimmer in Milbertshofen,10811191,Milbertshofen-Am Hart,48.17925,11.58185,Private room,50
20962852,Im Herzen der Stadt,147344569,Neuhausen-Nymphenburg,48.14652,11.54205,Entire home/apt,73
20963291,"Cozy Room in Munich City Center, Enjoy ur stay",44599343,Schwabing-West,48.16991,11.57557,Private room,80
20963387,Cozy Apartment Maxvorstadt,43588598,Maxvorstadt,48.15009,11.57553,Entire home/apt,100
20963951,Zimmer und Bad mit separate Eingang,150800735,Bogenhausen,48.14483,11.66116,Private room,100
20964221,Apartment between Olympiapark & Hohenzollernplatz,14513190,Schwabing-West,48.16254,11.56189,Private room,80
20964264,Flat only 15 minutes to Oktoberfest!!!!,75883616,Ludwigsvorstadt-Isarvorstadt,48.13033,11.56888,Entire home/apt,120
20964637,MAXVORSTADT /Octoberfest -Bedroom in cozy flat,8815132,Maxvorstadt,48.14916,11.57188,Private room,64
20965681,Großes Apartment in Obergiesing,86160509,Obergiesing,48.11277,11.57718,Private room,85
20965777,Cosy Appartment Close to the  Wiesn & City Center,43246596,Schwanthalerhöhe,48.13329,11.53387,Private room,150
